symbol,date,score,score_bucket,trend_score,trend_bucket,momentum_score,momentum_bucket,volume_score,volume_bucket,risk_score,risk_bucket,sr_score,sr_bucket,formation_score,formation_bucket,dist_ema9,dist_ema21,dist_ema50,dist_ema200,overextension_ema50,overextension_ema200,ema50_distance_bucket,ema200_distance_bucket,entry_price,stop_price,potential_pct,stop_distance_pct,rr_ratio,return_5d,benchmark_5d,relative_5d,return_10d,benchmark_10d,relative_10d,return_20d,benchmark_20d,relative_20d,target_3_outcome,target_3_pnl,target_5_outcome,target_5_pnl,target_8_outcome,target_8_pnl
KCAER,2025-05-23,47,<70,22,Yüksek,10,Düşük,0,Düşük,5,Düşük,10,Orta,0,Düşük,-1.124821575283942,1.574005866057726,6.22597083990556,-0.46994576440926045,6.22597083990556,0.46994576440926045,5-10%,<2%,13.720000267028809,12.502262133987221,8.965011066305873,8.875642196363453,1.0100690032298776,-2.696792116311007,-3.4841477885173546,0.7873556722063477,-0.9475226815653021,3.361079514728327,-4.308602196293629,-3.1341129504868572,1.1096626411975148,-4.243775591684372,STOP,-8.875642196363453,STOP,-8.875642196363453,STOP,-8.875642196363453
KCAER,2025-05-30,65,<70,19,Orta,17,Orta,0,Düşük,5,Düşük,14,Yüksek,10,Orta,-1.5557727579378695,-0.9006092174330358,2.643005732053537,-3.027401492068783,2.643005732053537,3.027401492068783,2-5%,2-5%,13.350000381469727,12.207987663198907,11.985014097949136,8.554402139613225,1.401034683937716,1.797751043148225,7.219520539258377,-5.4217694961101515,-3.820226324410704,3.670805585708751,-7.491031910119455,3.220968833066995,11.893793399192681,-8.672824566125687,TARGET,3.0,TARGET,5.0,TIMEOUT,3.220968833066995
KCAER,2025-06-10,80,80-89,19,Orta,20,Orta,14,Yüksek,10,Orta,17,Yüksek,0,Düşük,0.7426720392909266,0.9706200339459532,3.8704688020556093,-1.1658922483578007,3.8704688020556093,1.1658922483578007,2-5%,<2%,13.59000015258789,12.563484895181444,10.007355713077507,7.553460234589997,1.3248703775853938,-5.518763734945069,-3.5772913140871374,-1.9414724208579317,-2.2075068974722227,-2.448862063326493,0.2413551658542703,-1.9131731123073248,3.222149250204112,-5.135322362511436,TARGET,3.0,STOP,-7.553460234589997,STOP,-7.553460234589997
KCAER,2025-06-17,50,<70,8,Düşük,0,Düşük,0,Düşük,5,Düşük,20,Yüksek,17,Yüksek,-3.508584623844043,-4.149129139938446,-2.189486962237874,-6.485480059650596,2.189486962237874,6.485480059650596,2-5%,5-10%,12.84000015258789,11.791086454876382,14.018692907663826,8.169109698180971,1.7160612876560333,3.504671370073462,2.7490000324950947,0.7556713375783675,7.32086891910079,9.616041787417092,-2.2951728683163024,1.6355142963502796,10.062966147969917,-8.427451851619637,TARGET,3.0,TARGET,5.0,TARGET,8.0
KCAER,2025-06-24,53,<70,11,Orta,20,Orta,5,Düşük,5,Düşük,12,Orta,0,Düşük,1.1829525941777541,0.33239623854774375,1.448804292591823,-2.943981339560839,1.448804292591823,2.943981339560839,<2%,2-5%,13.289999961853027,12.203935684922536,5.944318766896953,8.172041234370788,0.7273970598552223,3.6869809821266792,7.027662479428784,-3.340681497302105,0.3009778929107697,6.154909967749641,-5.8539320748388715,6.997744980024147,12.459521155173329,-5.461776175149182,TARGET,3.0,TARGET,5.0,TARGET,8.0
KCAER,2025-07-01,68,<70,22,Yüksek,25,Yüksek,5,Düşük,10,Orta,6,Düşük,0,Düşük,2.4128281452276004,3.0498822711474083,4.517748136975406,0.6834127630844481,4.517748136975406,0.6834127630844481,2-5%,<2%,13.779999732971191,12.806336767165963,2.1770696411340085,7.065769119541857,0.308115026729768,-3.2656010013442103,-1.8726057973059183,-1.392995204038292,-5.297529436736268,-0.6624791441750908,-4.635050292561178,5.660382451091144,4.2202375110413195,1.4401449400498247,TARGET,3.0,TARGET,5.0,TARGET,8.0
KCAER,2025-07-08,68,<70,22,Yüksek,17,Orta,0,Düşük,10,Orta,12,Orta,7,Orta,-1.2341242723211678,-0.758492902824049,0.6199328186346258,-2.552671139194158,0.6199328186346258,2.552671139194158,<2%,2-5%,13.329999923706055,12.417384892987549,5.626406633853021,6.846324350651438,0.8218142094476812,-2.1005231400882476,-0.4504618292694055,-1.6500613108188422,6.676671781070144,4.177118836573477,2.499552944496667,14.178547292874171,7.2162738328443625,6.962273460029809,TARGET,3.0,TARGET,5.0,TARGET,8.0
KCAER,2025-07-16,33,<70,8,Düşük,0,Düşük,0,Düşük,10,Orta,15,Yüksek,0,Düşük,-2.5571423356661374,-2.6618971943532426,-1.6653474885092987,-4.497842108427639,1.6653474885092987,4.497842108427639,<2%,2-5%,13.050000190734863,12.242484453476703,7.662835137044459,6.187859965178196,1.2383659585327715,8.965517694969941,2.1338945347926104,6.831623160177331,11.570882810820908,2.394243397371859,9.176639413449049,14.176240618822813,5.585927601584128,8.590313017238685,TARGET,3.0,TARGET,5.0,TARGET,8.0
KCAER,2025-07-23,71,70-79,22,Yüksek,17,Orta,10,Orta,10,Orta,9,Orta,3,Düşük,3.030044190964073,4.4551153068149825,6.196254345748853,3.9710264262925974,6.196254345748853,3.9710264262925974,5-10%,2-5%,14.220000267028809,13.353115506470608,3.938111500889526,6.096235895073798,0.6459906684503148,2.3909996216823686,-0.6558046228095612,3.0468042444919297,7.032348672444466,1.9823970060036702,5.049951666440796,6.399436218873214,4.168738268157599,2.2306979507156157,TARGET,3.0,TARGET,5.0,TARGET,8.0
KCAER,2025-07-30,69,<70,22,Yüksek,27,Yüksek,5,Düşük,10,Orta,5,Düşük,0,Düşük,2.0561014935194253,4.409313354978131,7.146123391974957,6.151277133508043,7.146123391974957,6.151277133508043,5-10%,5-10%,14.5600004196167,13.654420371707598,3.846150067330322,6.2196430069398385,0.6183875928311017,4.532965854333981,1.468834256261478,3.0641315980725032,2.3351592658987363,1.9249367127844401,0.41022255311429623,5.631865873571216,5.731995992741411,-0.10013011917019554,TARGET,3.0,TARGET,5.0,TARGET,8.0
