symbol,date,score,score_bucket,trend_score,trend_bucket,momentum_score,momentum_bucket,volume_score,volume_bucket,risk_score,risk_bucket,sr_score,sr_bucket,formation_score,formation_bucket,entry_price,stop_price,potential_pct,stop_distance_pct,rr_ratio,return_5d,return_10d,return_20d,target_3_outcome,target_3_pnl,target_5_outcome,target_5_pnl,target_8_outcome,target_8_pnl
GARAN,2025-05-16,53,<70,14,Orta,17,Orta,5,Düşük,10,Orta,0,Düşük,7,Orta,113.30000305175781,105.08759600641541,1.0591323176699332,7.248373189884914,0.14612000374759257,-1.3239187639869425,-4.854368801285455,1.0591323176699332,STOP,-7.248373189884914,STOP,-7.248373189884914,STOP,-7.248373189884914
GARAN,2025-05-26,55,<70,11,Orta,25,Yüksek,0,Düşük,10,Orta,2,Düşük,7,Orta,111.80000305175781,104.26468347775045,2.4150240380514334,6.7399994349900725,0.35831220185480483,-3.577817433643718,8.31842143873453,6.976739901118136,TARGET,3.0,TARGET,5.0,TARGET,8.0
GARAN,2025-06-02,57,<70,8,Düşük,17,Orta,10,Orta,10,Orta,12,Orta,0,Düşük,107.80000305175781,100.5327837606766,6.215210351177198,6.741390617208073,0.9219478152344789,12.337657741973885,6.215210351177198,28.84971239731281,TARGET,3.0,TARGET,5.0,TARGET,8.0
GARAN,2025-06-11,47,<70,14,Orta,13,Orta,5,Düşük,10,Orta,2,Düşük,3,Düşük,121.0999984741211,113.37654867523976,1.9818344806930641,6.377745579023954,0.31074216682634787,-5.450040096847321,-1.2386457629233976,15.276637376133376,STOP,-6.377745579023954,STOP,-6.377745579023954,STOP,-6.377745579023954
GARAN,2025-06-18,71,70-79,19,Orta,20,Orta,0,Düşük,10,Orta,12,Orta,10,Orta,114.5,106.84185015544568,7.860262008733625,6.688340475593289,1.1752185818615013,4.454147138970387,21.31003833754094,23.66812760132369,TARGET,3.0,TARGET,5.0,TARGET,8.0
GARAN,2025-06-25,67,<70,22,Yüksek,30,Yüksek,0,Düşük,10,Orta,5,Düşük,0,Düşük,119.5999984741211,111.75748093314398,3.260870882638668,6.557288997519567,0.49728948714509325,16.13712012424431,16.722414619195927,16.806019005485446,TARGET,3.0,TARGET,5.0,TARGET,8.0
GARAN,2025-07-02,63,<70,30,Yüksek,10,Düşük,10,Orta,10,Orta,0,Düşük,3,Düşük,138.89999389648438,129.96844373759478,0.935927364206109,6.430201980819277,0.1455517831318359,0.5039684937300546,1.9438533662164463,2.807782092618327,TARGET,3.0,TIMEOUT,2.807782092618327,TIMEOUT,2.807782092618327
GARAN,2025-07-09,74,70-79,30,Yüksek,15,Orta,14,Yüksek,10,Orta,5,Düşük,0,Düşük,139.60000610351562,130.72999567400564,3.0802203473975784,6.353875388037402,0.48477821160874285,1.4326646938088012,0.07162667647193202,6.303715908467382,TARGET,3.0,TARGET,5.0,TARGET,8.0
GARAN,2025-07-17,65,<70,30,Yüksek,18,Orta,5,Düşük,10,Orta,2,Düşük,0,Düşük,141.60000610351562,132.26232680269976,1.977392423925349,6.594406001642135,0.29985906591631456,-1.3418143173556434,0.8474554353937942,2.118643976474741,TARGET,3.0,TARGET,5.0,TARGET,8.0
GARAN,2025-07-24,77,70-79,30,Yüksek,10,Düşük,12,Orta,10,Orta,5,Düşük,10,Orta,139.6999969482422,130.2335143631936,4.008594291945751,6.776294052859469,0.5915614435672547,2.2190452192093852,6.227628588614409,6.012891437918627,TARGET,3.0,TARGET,5.0,TARGET,8.0
GARAN,2025-07-31,68,<70,30,Yüksek,12,Orta,0,Düşük,10,Orta,6,Düşük,10,Orta,142.8000030517578,134.21518134349122,1.750700242698087,6.01177977927285,0.2912116389782065,3.9215621323879435,1.2605063118278799,2.100840291237705,TARGET,3.0,TARGET,5.0,TARGET,8.0
GARAN,2025-08-07,62,<70,30,Yüksek,17,Orta,0,Düşük,10,Orta,5,Düşük,0,Düşük,148.39999389648438,139.48976176508728,4.110516411321857,6.00419979640456,0.6846068669772315,-2.5606387798232735,-0.20214811678361988,-6.738544751541868,STOP,-6.00419979640456,STOP,-6.00419979640456,STOP,-6.00419979640456
GARAN,2025-08-14,62,<70,27,Yüksek,10,Düşük,0,Düşük,10,Orta,15,Yüksek,0,Düşük,144.60000610351562,136.61272488892013,6.846468519093429,5.523707384132195,1.2394698058700746,2.420470160626712,0.8298733731609519,-4.702629851128676,TARGET,3.0,TARGET,5.0,STOP,-5.523707384132195
GARAN,2025-08-21,78,70-79,27,Yüksek,17,Orta,10,Orta,15,Yüksek,9,Orta,0,Düşük,148.10000610351562,140.78252802128205,4.321400157141824,4.940903295519766,0.8746174330228877,-1.5530067231396385,-6.549636601804967,-3.038487383217723,STOP,-4.940903295519766,STOP,-4.940903295519766,STOP,-4.940903295519766
GARAN,2025-08-28,82,80-89,30,Yüksek,10,Düşük,5,Düşük,15,Yüksek,15,Yüksek,7,Orta,145.8000030517578,138.64242907972667,5.967075971290453,4.909172717568644,1.2154952197823168,-5.075451989288707,-5.4869683350830005,-2.2633765313340484,STOP,-4.909172717568644,STOP,-4.909172717568644,STOP,-4.909172717568644
GARAN,2025-09-04,67,<70,16,Orta,10,Düşük,14,Yüksek,10,Orta,17,Yüksek,0,Düşük,138.39999389648438,129.0338272166254,9.82659443878855,6.767461772335297,1.4520354557389124,-0.4335194155971733,3.7572344193313874,1.5173455174328365,TARGET,3.0,TARGET,5.0,TARGET,8.0
