symbol,date,score,max,bucket,entry_price,stop_price,target_3_outcome,target_3_pnl,target_3_day,target_5_outcome,target_5_pnl,target_5_day,target_8_outcome,target_8_pnl,target_8_day
AGHOL,2025-05-30,56,140,<70,25.600000381469727,23.794352599156966,TARGET,3.0,5.0,TARGET,5.0,5.0,TIMEOUT,4.296876426087671,
AGHOL,2025-06-10,39,140,<70,26.450000762939453,24.702522848294368,STOP,-6.606721603931189,3.0,STOP,-6.606721603931189,3.0,STOP,-6.606721603931189,3.0
AGHOL,2025-06-17,27,140,<70,24.6200008392334,22.923901804819526,TARGET,3.0,9.0,TARGET,5.0,9.0,TARGET,8.0,10.0
AGHOL,2025-06-24,58,140,<70,24.979999542236328,23.439101921863074,TARGET,3.0,4.0,TARGET,5.0,5.0,TARGET,8.0,5.0
AGHOL,2025-07-01,62,140,<70,26.700000762939453,24.969267312912596,TARGET,3.0,1.0,TARGET,5.0,1.0,TIMEOUT,4.681647806299108,
AGHOL,2025-07-08,64,140,<70,26.850000381469727,24.965576609783305,TARGET,3.0,3.0,TARGET,5.0,8.0,TARGET,8.0,17.0
AGHOL,2025-07-16,59,140,<70,25.825000762939453,23.984680764544013,TARGET,3.0,1.0,TARGET,5.0,2.0,TARGET,8.0,3.0
AGHOL,2025-07-23,49,140,<70,27.799999237060547,25.967315216287695,TARGET,3.0,7.0,TARGET,5.0,7.0,TARGET,8.0,10.0
AGHOL,2025-07-30,95,140,90-99,27.950000762939453,26.29266619151462,TARGET,3.0,2.0,TARGET,5.0,2.0,TARGET,8.0,5.0
AGHOL,2025-08-06,64,140,<70,29.84000015258789,28.107419468806906,TARGET,3.0,1.0,TARGET,5.0,1.0,STOP,-5.806235505768672,19.0
AGHOL,2025-08-13,57,140,<70,29.600000381469727,27.78448862890925,STOP,-6.133485571496907,14.0,STOP,-6.133485571496907,14.0,STOP,-6.133485571496907,14.0
AGHOL,2025-08-20,63,140,<70,29.739999771118164,27.919990269026332,STOP,-6.119736099861453,9.0,STOP,-6.119736099861453,9.0,STOP,-6.119736099861453,9.0
AGHOL,2025-08-27,76,140,70-79,29.31999969482422,27.635625048706725,STOP,-5.744797624997356,4.0,STOP,-5.744797624997356,4.0,STOP,-5.744797624997356,4.0
AGHOL,2025-09-03,38,140,<70,26.799999237060547,25.01011030659777,TARGET,3.0,1.0,TARGET,5.0,11.0,TARGET,8.0,13.0
AGHOL,2025-09-10,45,140,<70,26.579999923706055,24.812081462080705,TARGET,3.0,3.0,TARGET,5.0,5.0,TARGET,8.0,8.0
AGHOL,2025-09-17,52,140,<70,27.739999771118164,25.898754001093288,TARGET,3.0,2.0,TARGET,5.0,3.0,STOP,-6.637511842887295,9.0
AGHOL,2025-09-24,39,140,<70,27.5,25.662386469630494,STOP,-6.682231019525475,4.0,STOP,-6.682231019525475,4.0,STOP,-6.682231019525475,4.0
AGHOL,2025-10-01,42,140,<70,26.399999618530273,24.628392027568157,STOP,-6.710634911216502,8.0,STOP,-6.710634911216502,8.0,STOP,-6.710634911216502,8.0
AGHOL,2025-10-08,61,140,<70,25.459999084472656,23.82026689665095,TARGET,3.0,12.0,TIMEOUT,3.9277299134306416,,TIMEOUT,3.9277299134306416,
AGHOL,2025-10-15,54,140,<70,24.760000228881836,23.10223799355035,TARGET,3.0,3.0,TARGET,5.0,7.0,TARGET,8.0,16.0
AGHOL,2025-10-22,60,140,<70,25.600000381469727,23.831597854478606,TARGET,3.0,2.0,TARGET,5.0,11.0,TARGET,8.0,11.0
AGHOL,2025-10-30,41,140,<70,25.6200008392334,23.966695128654813,TARGET,3.0,4.0,TARGET,5.0,6.0,TARGET,8.0,6.0
AGHOL,2025-11-06,62,140,<70,26.459999084472656,24.86276694836027,TARGET,3.0,1.0,TARGET,5.0,1.0,TARGET,8.0,13.0
AGHOL,2025-11-13,56,140,<70,26.299999237060547,24.636970030829385,TARGET,3.0,3.0,TARGET,5.0,5.0,TARGET,8.0,8.0
AGHOL,2025-11-20,62,140,<70,27.34000015258789,25.729937331286738,TARGET,3.0,2.0,TARGET,5.0,3.0,TARGET,8.0,15.0
AGHOL,2025-11-27,58,140,<70,28.899999618530273,27.13020315480252,TARGET,3.0,11.0,TARGET,5.0,13.0,TIMEOUT,-2.0069201777226557,
AGHOL,2025-12-04,61,140,<70,28.020000457763672,26.302762752647393,TARGET,3.0,4.0,TARGET,5.0,5.0,TARGET,8.0,8.0
AGHOL,2025-12-11,65,140,<70,29.600000381469727,27.986512813942653,STOP,-5.450971441666445,9.0,STOP,-5.450971441666445,9.0,STOP,-5.450971441666445,9.0
AGHOL,2025-12-18,60,140,<70,30.079999923706055,28.579265927409843,STOP,-4.989142287575218,3.0,STOP,-4.989142287575218,3.0,STOP,-4.989142287575218,3.0
AGHOL,2025-12-25,54,140,<70,28.31999969482422,26.81129944491224,TARGET,3.0,5.0,TARGET,5.0,6.0,TARGET,8.0,8.0
AGHOL,2026-01-02,84,140,80-89,29.34000015258789,27.829529925512794,TARGET,3.0,2.0,TARGET,5.0,3.0,TARGET,8.0,7.0
AGHOL,2026-01-09,65,140,<70,31.260000228881836,29.684274043584225,TARGET,3.0,3.0,TARGET,5.0,3.0,TARGET,8.0,5.0
AGHOL,2026-01-16,74,140,70-79,34.2599983215332,32.448941952303976,STOP,-5.286212661869678,2.0,STOP,-5.286212661869678,2.0,STOP,-5.286212661869678,2.0
